,name,n_nodes,n_edges,min_degree,max_degree,avg_degree,clust,assort,avg_path,diam
0,SF_1000_g2.5,1000,1905,2,30,3.81,0.0096,0.02,4.6149,10
1,SF_1000_g2.7,1000,1668,2,24,3.336,0.0067,-0.002,5.4688,12
2,homorand_N1000_K6_0,1000,2994,5,6,5.988,0.0038,0.1919,4.1913,6
3,homorand_N1000_K4_0,1000,2000,4,4,4.0,0.002,,5.64,9
4,ER5000-kmed8,5000,19980,4,17,7.992,0.0014,-0.0555,4.3797,6
5,ER1000k8,1000,3956,1,17,7.912,0.008,-0.0168,3.5698,6
6,SF_1000_g3.0,1000,1517,2,26,3.034,0.0052,-0.0085,5.9651,13
7,ws2000,2000,6000,3,13,6.0,0.0033,-0.0762,4.5111,7
8,BA1000,1000,3990,4,115,7.98,0.0354,-0.0542,3.1833,5
9,256_4_4_4_13_18_p,256,4598,20,50,35.9219,0.5113,0.0007,2.6511,4
10,SF_500_g2.7,500,859,2,22,3.436,0.0078,-0.0256,4.8759,12
11,256_4_4_2_15_18_p,256,4548,30,46,35.5312,0.7331,0.0286,2.7821,5
12,rb125,125,426,4,100,6.816,0.8373,-0.1837,2.3032,4
13,ws1000,1000,3000,3,13,6.0,0.0044,-0.0999,4.0913,6
14,zachary_unwh,34,78,1,17,4.5882,0.5706,-0.4756,2.4082,5
15,dolphins,62,159,1,12,5.129,0.259,-0.0436,3.357,8
16,airports_UW,3618,14142,1,250,7.8176,0.4957,0.0462,4.4396,17
17,PGP,10680,24340,1,206,4.5581,0.2659,0.2395,7.4855,24
18,rb25,25,66,4,20,5.28,0.9023,-0.1635,2.0333,4
19,wheel,9,16,3,8,3.5556,0.6243,-0.3333,1.5556,2
20,graph3+1+3,7,8,2,3,2.2857,0.6667,-0.6,2.1905,4
21,20x2+5x2,50,404,4,22,16.16,0.9716,0.9186,2.3878,4
22,graph3+2+3,8,13,3,4,3.25,0.875,-0.0833,1.8571,3
23,grid-p-6x6,36,72,4,4,4.0,0.0,,3.0857,6
24,star,9,8,1,8,1.7778,0.0,-1.0,1.7778,2
25,circle9,9,9,2,2,2.0,0.0,,2.5,4
