,node,degree,strength,clust,avg_path_length,max_path_length,betweenness,eigenvect_centr,pagerank
0,ADA,7,10704.0,0.7143,3.6334,11,0.0,0.0107,0.0002
1,AGU,7,7678.0,0.7619,3.6655,11,0.0,0.0051,0.0001
2,AMS,192,481335.0,0.1428,2.7321,10,0.0405,0.1715,0.0054
3,ATL,172,1129605.0,0.1378,2.9162,11,0.0249,0.1221,0.0086
4,BCN,80,289105.0,0.3285,3.274,11,0.0019,0.0891,0.0028
5,CAN,80,204848.0,0.1712,3.3166,10,0.0076,0.0153,0.0028
6,CHC,20,64158.5,0.2526,3.5662,10,0.0034,0.0042,0.0016
7,CHI,184,1329505.0,0.1342,2.8087,11,0.0444,0.1381,0.0102
8,DJE,20,10198.5,0.7,3.5792,11,0.0001,0.0318,0.0002
9,FRA,237,697513.5,0.117,2.6829,10,0.0656,0.1955,0.0077
10,LON,242,1464828.0,0.1123,2.6359,10,0.085,0.2004,0.0156
11,MOW,186,217145.0,0.0958,2.8784,10,0.0522,0.1166,0.0059
12,NYC,179,1524349.5,0.1576,2.7092,11,0.0693,0.1606,0.0125
13,PAR,250,1023424.5,0.0892,2.6884,10,0.0934,0.1803,0.0127
14,TBO,2,234.0,1.0,4.5845,12,0.0,0.0001,0.0001
15,ZVA,1,19.0,0.0,7.5773,15,0.0,0.0,0.0001
